Price,Car Name,Region,Condition,Mileage
"₦ 3,045,000",Honda Accord 2006 Silver,"Lagos State, Mushin",Local Used,340779 km
"₦ 13,650,000",Infiniti G 2013 Gray,"Lagos State, Ilupeju",Foreign Used,72286 km
"₦ 3,360,000",Peugeot 307 SW 2003 Blue,"Abuja (FCT), Lugbe District",Local Used,300342 km
"₦ 4,410,000",Volkswagen Passat 2011 Silver,"Lagos State, Alimosho",Local Used,179392 km
"₦ 8,925,000",Honda Pilot 2008 Blue,"Lagos State, Ikorodu",Foreign Used,125314 km
"₦ 7,800,000",Lexus GS 2006 Gray,"Lagos State, Ikeja",Local Used,88781 km
"₦ 14,560,000",Land Rover Range Rover Evoque 2015 Black,"Lagos State, Abule Egba",Local Used,66581 km
"₦ 36,750,000",Mercedes-Benz C400 2015 White,"Lagos State, Lekki",Foreign Used,78283 km
"₦ 5,250,000",Toyota 4-Runner 2005 Silver,"Lagos State, Abule Egba",Local Used,199177 km
"₦ 16,120,000",Toyota Highlander 2008 Gray,"Lagos State, Isolo",Foreign Used,99118 km
"₦ 6,760,000",Toyota Highlander 2002 Black,"Delta State, Oshimili South",Local Used,164283 km
"₦ 5,880,000",Toyota Camry 2.4 LE 2009 Green,"Kaduna State, Kaduna / Kaduna State",Local Used,342869 km
"₦ 6,300,000",Mercedes-Benz C300 2009 Gray,"Oyo State, Ibadan",Local Used,191101 km
"₦ 3,780,000",Honda Pilot 2006 Green,"Lagos State, Amuwo-Odofin",Local Used,322685 km
"₦ 8,320,000",Toyota Corolla 2010 Gray,"Ogun State, Abeokuta North",Local Used,134920 km
"₦ 13,650,000",Toyota Corolla 2014 Gray,"Rivers State, Port-Harcourt",Local Used,174183 km
"₦ 16,120,000",Hyundai Sonata 2014 Red,"Abuja (FCT), Jabi",Foreign Used,234200 km
"₦ 3,150,000",Toyota Sienna 1999 Blue,"Ogun State, Abeokuta North",Local Used,179136 km
"₦ 22,765,600",Toyota Avalon 2015 White,"Lagos State, Lekki",Foreign Used,206644 km
"₦ 6,760,000",Toyota Camry 2007 Black,"Lagos State, Abule Egba",Local Used,114408 km
"₦ 5,145,000",Toyota Corolla 2005 Gray,"Abuja (FCT), Gwarinpa",Local Used,184308 km
"₦ 14,560,000",Toyota Camry 2012 White,"Akwa Ibom State, Uyo",Foreign Used,349753 km
"₦ 4,725,000",Toyota Corolla 2007 Blue,"Lagos State, Abule Egba",Local Used,226679 km
"₦ 11,550,000",Toyota Camry 2012 Gray,"Lagos State, Ojodu",Local Used,158449 km
"₦ 3,675,000",Honda City 2008 Black,"Lagos State, Ojodu",Local Used,283169 km
"₦ 8,400,000",Mercedes-Benz E350 2011 Black,"Abuja (FCT), Jabi",Local Used,120930 km
"₦ 6,760,000",Toyota Camry 2002 White,"Oyo State, Ibadan",Local Used,387820 km
"₦ 8,820,000",Toyota Corolla 2010 Silver,"Kaduna State, Kaduna / Kaduna State",Foreign Used,542693 km
"₦ 5,720,000",Honda Pilot EX 4x4 (3.5L 6cyl 5A) 2004 Black,"Lagos State, Lekki",Local Used,202596 km
"₦ 5,775,000",Toyota Sienna 2008 Gray,"Lagos State, Ikeja",Local Used,370225 km
"₦ 4,680,000",Peugeot 307 2007 Blue,"Abuja (FCT), Jabi",Local Used,108120 km
"₦ 15,600,000",Toyota Corolla 2015 Blue,"Abuja (FCT), Jabi",Foreign Used,175022 km
"₦ 4,160,000",Honda Accord 2007 Gray,"Abuja (FCT), Karu",Local Used,283705 km
"₦ 2,940,000",Lexus RX 300 2000 Gray,"Abuja (FCT), Karu",Local Used,318266 km
"₦ 7,350,000",Toyota Camry 2011 Red,"Lagos State, Ilupeju",Local Used,147673 km
"₦ 5,775,000",Lexus GX 2004 Gray,"Lagos State, Abule Egba",Local Used,262186 km
"₦ 16,800,000",Ford Escape 2019 Silver,"Lagos State, Lekki",Local Used,45593 km
"₦ 4,372,000",Honda Accord 2009 Black,"Lagos State, Lekki",Local Used,118059 km
"₦ 5,145,000",Toyota Sequoia 2004 Black,"Akwa Ibom State, Uyo",Local Used,349300 km
"₦ 9,853,200",Toyota FJ Cruiser 2007 Black,"Lagos State, Lekki",Local Used,110617 km
"₦ 3,150,000",Toyota Corolla 2001 Silver,"Enugu State, Enugu",Local Used,3500 km
"₦ 15,600,000",Toyota Camry 2014 Blue,"Lagos State, Lekki",Foreign Used,237612 km
"₦ 5,040,000",Toyota Sienna 2006 Blue,"Abuja (FCT), Lugbe District",Local Used,559276 km
"₦ 36,400,000",Toyota Highlander 2016 Black,"Lagos State, Amuwo-Odofin",Foreign Used,128499 km
"₦ 8,840,000",Toyota Sienna 2010 Black,"Lagos State, Ikeja",Local Used,181585 km
"₦ 2,310,000",Nissan Primera 2004 Gray,"Lagos State, Lekki",Local Used,168578 km
"₦ 20,265,000",Toyota RAV4 2013 Burgandy,"Lagos State, Ogba",Foreign Used,47115 km
"₦ 4,200,000",Honda Civic 2007 Silver,"Lagos State, Alimosho",Local Used,339470 km
"₦ 21,420,000",Hyundai Santa Fe 2017 White,"Lagos State, Amuwo-Odofin",Foreign Used,141967 km
"₦ 4,095,000",Toyota Matrix 2004 Red,"Oyo State, Ibadan",Local Used,165237 km
"₦ 7,350,000",Lexus ES 2007 Silver,"Abuja (FCT), Gudu",Local Used,74472 km
"₦ 8,400,000",Peugeot 207 2007 Blue,"Lagos State, Mushin",Foreign Used,191631 km
"₦ 7,488,000",Toyota Camry 2008 Blue,"Lagos State, Alimosho",Local Used,292693 km
"₦ 41,600,000",Lexus GX 2013 Black,"Lagos State, Lekki",Local Used,143263 km
"₦ 4,095,000",Toyota Camry 2004 Gray,"Lagos State, Magodo",Local Used,216153 km
"₦ 3,640,000",Honda Accord 2006 Silver,"Lagos State, Ikorodu",Local Used,152341 km
"₦ 3,120,000",Honda Accord 2004 Gold,"Lagos State, Alimosho",Local Used,249785 km
"₦ 3,675,000",Kia Rio 2014 Black,"Lagos State, Abule Egba",Local Used,84587 km
"₦ 75,600,000",Lexus RX 350 2022 White,"Lagos State, Ikeja",Foreign Used,39726 km
"₦ 13,520,000",Lexus ES 350 2007 Pink,"Lagos State, Amuwo-Odofin",Foreign Used,466174 km
"₦ 6,825,000",Volkswagen CC 2013 Gray,"Abuja (FCT), Lugbe District",Local Used,265769 km
"₦ 4,200,000",Acura MDX 2001 Gray,"Lagos State, Isolo",Local Used,203729 km
"₦ 4,200,000",Ford Escape 2006 Green,"Abuja (FCT), Gudu",Local Used,161426 km
"₦ 5,145,000",Honda CR-V 2009 Blue,"Lagos State, Isolo",Local Used,224239 km
"₦ 16,800,000",Toyota Camry 2015 Silver,"Abuja (FCT), Asokoro",Foreign Used,187745 km
"₦ 12,075,000",Toyota Highlander 2012 Green,"Oyo State, Ibadan",Local Used,107618 km
"₦ 4,620,000",Lexus ES 2002 Silver,"Oyo State, Ibadan",Local Used,239055 km
"₦ 5,720,000",Toyota Corolla 1.4 VVT-i 2006 Black,"Abuja (FCT), Lugbe District",Local Used,393044 km
"₦ 2,310,000",Peugeot 406 2004 Gray,"Abuja (FCT), Lugbe District",Local Used,999999 km
"₦ 19,760,000",Mercedes-Benz C300 2015 Silver,"Abuja (FCT), Wuse",Local Used,133239 km
"₦ 5,250,000",Rover Land 2005 Green,"Imo State, Owerri",Local Used,2550840 km
"₦ 4,160,000",Honda Accord 2007 Silver,"Abuja (FCT), Asokoro",Local Used,116307 km
"₦ 7,280,000",Toyota Corolla 2010 Black,"Rivers State, Port-Harcourt",Local Used,97263 km
"₦ 5,928,000",Lexus ES 2003 Silver,"Rivers State, Port-Harcourt",Local Used,214457 km
"₦ 2,625,000",Mercedes-Benz C180 2001 Green,"Kaduna State, Kaduna / Kaduna State",Local Used,99999 km
"₦ 4,680,000",Toyota Sienna 2000 Gold,"Edo State, Benin City",Local Used,232287 km
"₦ 4,680,000",Lexus RX 300 1999 Gold,"Abuja (FCT), Gudu",Local Used,245154 km
"₦ 8,400,000",Dodge Caravan 2013 Blue,"Rivers State, Port-Harcourt",Foreign Used,524625 km
"₦ 4,158,000",Honda Accord 2008 Black,"Lagos State, Lekki",Local Used,181222 km
"₦ 15,184,000",Toyota Sienna 2010 Gray,"Lagos State, Isolo",Foreign Used,197916 km
"₦ 3,150,000",Honda Accord 2008 Silver,"Oyo State, Ibadan",Local Used,403010 km
"₦ 4,725,000",Toyota Corolla 2005 Blue,"Lagos State, Ogudu",Local Used,246600 km
"₦ 46,620,000",Lexus RX 2020 Gray,"Lagos State, Mushin",Foreign Used,55237 km
"₦ 7,800,000",Mercedes-Benz E350 2008 Black,"Abuja (FCT), Asokoro",Local Used,113868 km
"₦ 3,255,000",Honda Accord 2008 Silver,"Abuja (FCT), Kubwa",Local Used,155726 km
"₦ 6,240,000",Toyota Corolla 2006 Gray,"Oyo State, Ibadan",Local Used,350691 km
"₦ 36,750,000",BMW X5 2014 Black,"Abuja (FCT), Wuse",Local Used,38611 km
"₦ 9,360,000",Honda Pilot 2007 Green,"Lagos State, Amuwo-Odofin",Foreign Used,263624 km
"₦ 9,620,000",Kia Optima 2014 Burgandy,"Lagos State, Lekki",Local Used,183081 km
"₦ 36,400,000",Lexus GX 2011 Gray,"Lagos State, Ogudu",Local Used,173328 km
"₦ 3,150,000",Infiniti QX4 1998 Brown,"Lagos State, Alimosho",Local Used,
"₦ 4,410,000",Toyota Camry 2005 Red,"Lagos State, Alimosho",Local Used,170961 km
"₦ 10,400,000",Toyota Sienna 2008 Red,"Oyo State, Ibadan",Local Used,183662 km
"₦ 8,320,000",Ford Edge 2011 Silver,"Lagos State, Ilupeju",Local Used,53397 km
"₦ 6,300,000",New Toyota Highlander Base AWD 2003 Silver,"Lagos State, Ilupeju",Brand New,147480 km
"₦ 31,500,000",Land Rover Discovery 2017 White,"Lagos State, Lekki",Local Used,65981 km
"₦ 3,675,000",Hyundai Accent 2014 Gray,"Lagos State, Alimosho",Local Used,109956 km
"₦ 5,775,000",Toyota Corolla 2008 Gray,"Oyo State, Ibadan",Local Used,112520 km
"₦ 17,640,000",Hyundai Sonata 2018 Gray,"Lagos State, Lekki",Foreign Used,13369 km
"₦ 8,925,000",Mercedes-Benz C300 2012 Gold,"Abuja (FCT), Jabi",Local Used,284378 km
"₦ 7,675,500",Lexus LS 2008 Gray,"Lagos State, Alimosho",Local Used,523424 km
"₦ 3,780,000",Kia Rio 2014 Black,"Lagos State, Abule Egba",Local Used,125343 km
"₦ 6,240,000",Lexus ES 2004 Silver,"Lagos State, Alimosho",Local Used,182854 km
"₦ 2,415,000",Ford Explorer 1996 Black,"Lagos State, Ikoyi",Local Used,298035 km
"₦ 14,040,000",Mercedes-Benz E350 2010 Silver,"Abuja (FCT), Lugbe District",Local Used,87237 km
"₦ 10,712,000",Toyota RAV4 2012 Silver,"Lagos State, Lekki",Local Used,93699 km
"₦ 15,750,000",Hyundai Elantra 2019 Black,"Lagos State, Ogba",Local Used,94964 km
"₦ 2,835,000",Lexus IS 2002 White,"Ogun State, Abeokuta North",Local Used,205383 km
"₦ 3,150,000",Kia Cerato 2009 Black,"Lagos State, Abule Egba",Local Used,176582 km
"₦ 9,880,000",Toyota Corolla 2009 Red,"Kaduna State, Kaduna / Kaduna State",Local Used,282481 km
"₦ 16,848,000",Toyota Camry 2013 Black,"Enugu State, Enugu",Foreign Used,184414 km
"₦ 4,935,000",Volkswagen Jetta 2009 Black,"Lagos State, Ikeja",Local Used,217378 km
"₦ 84,000,000",Mercedes-Benz GLE-Class 2019 White,"Lagos State, Ikoyi",Foreign Used,63083 km
"₦ 14,040,000",Toyota Venza 2010 Red,"Rivers State, Port-Harcourt",Local Used,185911 km
"₦ 2,835,000",Hyundai Accent 1.3 LS 2008 Silver,"Akwa Ibom State, Uyo",Local Used,229384 km
"₦ 8,400,000",Lexus ES 2002 Silver,"Lagos State, Ogba",Foreign Used,85635 km
"₦ 3,528,000",Toyota Camry 2003 Gray,"Imo State, Owerri",Local Used,365543 km
"₦ 4,200,000",Kia Cerato 2011 Black,"Lagos State, Ikoyi",Local Used,201458 km
"₦ 4,056,000",Acura MDX 2004 Gray,"Abuja (FCT), Karu",Local Used,240057 km
"₦ 5,775,000",Honda CR-V 2008 Silver,"Lagos State, Alimosho",Local Used,179536 km
"₦ 11,960,000",Lexus RX 350 2007 Blue,"Ogun State, Abeokuta North",Local Used,248609 km
"₦ 3,307,500",Honda Pilot 2006 Silver,"Lagos State, Surulere",Local Used,133598 km
"₦ 7,280,000",Toyota Sienna 2007 Green,"Lagos State, Ikotun/Igando",Local Used,298989 km
"₦ 7,875,000",Mitsubishi Outlander 2.4 2008 Black,"Oyo State, Ibadan",Local Used,178424 km
"₦ 2,415,000",Toyota Sienna 1999 Green,"Abia State, Aba North",Local Used,432008 km
"₦ 9,880,000",Toyota Camry 2010 Black,"Lagos State, Ikorodu",Local Used,123414 km
"₦ 5,200,000",Honda Pilot 2006 Gray,"Lagos State, Surulere",Local Used,215234 km
"₦ 9,450,000",Toyota Sienna 2011 Black,"Ondo State, Akure",Local Used,139344 km
"₦ 5,250,000",Toyota Avalon 2005 White,"Lagos State, Yaba",Local Used,320994 km
"₦ 58,240,000",Lexus RX 350 2017 Black,"Lagos State, Lekki",Foreign Used,186415 km
"₦ 16,800,000",Toyota Camry 2015 White,"Lagos State, Isolo",Foreign Used,216801 km
"₦ 3,570,000",Mercedes-Benz S-Class S 430 L (V220) 2001 Gray,"Abuja (FCT), Karu",Local Used,215234 km
"₦ 11,550,000",Toyota Land Cruiser Prado 2007 Black,"Oyo State, Ibadan",Local Used,115098 km
"₦ 2,730,000",Toyota RAV4 2001 Blue,"Rivers State, Port-Harcourt",Local Used,168927 km
"₦ 5,250,000",Toyota Matrix 2008 Gray,"Delta State, Oshimili South",Local Used,299999 km
"₦ 5,670,000",Ford Focus 2014 Gray,"Abuja (FCT), Jabi",Local Used,111578 km
"₦ 3,465,000",Honda Insight EX 2010 Black,"Akwa Ibom State, Uyo",Local Used,
"₦ 2,310,000",Volvo V40 1999 Green,"Lagos State, Alimosho",Local Used,216926 km
"₦ 5,775,000",Toyota Highlander 2005 Gold,"Lagos State, Abule Egba",Local Used,306284 km
"₦ 6,656,000",Toyota Corolla 2003 Blue,"Rivers State, Port-Harcourt",Local Used,
"₦ 22,880,000",Toyota Highlander 2013 Black,"Lagos State, Ikeja",Foreign Used,143571 km
"₦ 8,400,000",Dodge Nitro 2008 Silver,"Lagos State, Surulere",Foreign Used,271643 km
"₦ 4,160,000",Toyota Camry 2003 Gray,"Lagos State, Ojodu",Local Used,572472 km
"₦ 8,840,000",Honda Pilot 2011 Silver,"Abuja (FCT), Gudu",Local Used,151113 km
"₦ 2,730,000",Acura MDX 2002 Green,"Lagos State, Ikeja",Local Used,110770 km
"₦ 13,312,000",Acura MDX 2010 White,"Lagos State, Alimosho",Foreign Used,150416 km
"₦ 9,156,000",Toyota Camry 2012 Burgandy,"Lagos State, Ogudu",Local Used,130825 km
"₦ 4,160,000",Acura MDX 2002 Black,"Lagos State, Alimosho",Local Used,276903 km
"₦ 3,675,000",Mazda 6 SportCombi 2.3 Top 2004 Gray,"Kaduna State, Kaduna / Kaduna State",Local Used,233580 km
"₦ 3,640,000",Toyota Sienna 2001 Blue,"Delta State, Oshimili South",Local Used,336102 km
"₦ 18,200,000",Hyundai Santa Fe 2013 Black,"Oyo State, Ibadan",Foreign Used,97636 km
"₦ 11,440,000",Honda Accord 2013 Gray,"Lagos State, Alimosho",Local Used,143866 km
"₦ 9,651,600",Toyota Sienna 2012 Black,"Lagos State, Isolo",Local Used,118877 km
"₦ 5,040,000",Volkswagen Passat 2012 Gray,"Lagos State, Yaba",Local Used,145146 km
"₦ 5,985,000",Toyota Camry 2007 Gray,"Lagos State, Ojodu",Local Used,165623 km
"₦ 2,772,000",Toyota Sienna 1998 Blue,"Lagos State, Ogudu",Local Used,135327 km
"₦ 7,280,000",Pontiac Vibe 2004 Black,"Abuja (FCT), Gudu",Local Used,299999 km
"₦ 4,160,000",Toyota Sienna 2002 Red,"Lagos State, Alimosho",Local Used,250691 km
"₦ 6,510,000",Hyundai Elantra 2011 Black,"Abuja (FCT), Karu",Local Used,229823 km
"₦ 4,707,937",Ford Edge 2007 Burgandy,"Lagos State, Amuwo-Odofin",Local Used,165535 km
"₦ 4,830,000",Hyundai Elantra 2007 Gray,"Oyo State, Ibadan",Local Used,184964 km
"₦ 83,200,000",Lexus RX 350 2022 Blue,"Lagos State, Surulere",Foreign Used,38233 km
"₦ 5,250,000",Infiniti FX35 2005 Gray,"Lagos State, Mushin",Local Used,175909 km
"₦ 2,730,000",Honda Accord 2004 Silver,"Lagos State, Ikorodu",Local Used,152341 km
"₦ 9,912,000",Kia Rio 2020 Silver,"Lagos State, Lekki",Local Used,89590 km
"₦ 14,040,000",Hyundai Sonata 2011 Blue,"Lagos State, Ikorodu",Foreign Used,271059 km
"₦ 4,200,000",Honda Civic 2007 Gold,"Abuja (FCT), Lugbe District",Local Used,315232 km
"₦ 2,835,000",Mercedes-Benz C240 2.6 RWD 2004 Black,"Akwa Ibom State, Uyo",Local Used,10299 km
"₦ 9,450,000",GMC Acadia 2009 Blue,"Abuja (FCT), Asokoro",Local Used,270716 km
"₦ 18,900,000",Toyota Land Cruiser Prado 2004 Black,"Lagos State, Alimosho",Local Used,150212 km
"₦ 5,775,000",Mercedes-Benz C230 2005 Silver,"Abuja (FCT), Lugbe District",Local Used,376854 km
"₦ 19,635,000",Toyota Avalon 2015 Black,"Lagos State, Lekki",Foreign Used,100556 km
"₦ 28,080,000",Lexus ES 2014 Beige,"Abuja (FCT), Gwarinpa",Foreign Used,54489 km
"₦ 7,035,000",Audi A4 2010 Gray,"Abuja (FCT), Wuse",Local Used,208205 km
"₦ 18,720,000",Mercedes-Benz GLK-Class 2013 Red,"Abuja (FCT), Gudu",Local Used,257840 km
"₦ 6,825,000",Toyota Corolla 2010 Gray,"Lagos State, Ikorodu",Local Used,164213 km
"₦ 3,744,000",Toyota Sienna 2001 Blue,"Lagos State, Alimosho",Local Used,310246 km
"₦ 4,725,000",Mazda Tribute 2005 Gray,"Lagos State, Alimosho",Local Used,406390 km
"₦ 99,750,000",New Lexus RX 350 2022 Black,"Lagos State, Ikeja",Brand New,70 km
"₦ 7,072,000",Toyota Sienna 2005 Gray,"Lagos State, Yaba",Local Used,440610 km
"₦ 4,160,000",Honda CR-V 2004 Black,"Abuja (FCT), Karu",Local Used,199331 km
"₦ 5,720,000",Toyota Camry 2006 Gray,"Lagos State, Lekki",Local Used,428562 km
"₦ 18,512,000",Mercedes-Benz GLK-Class 2012 Silver,"Lagos State, Amuwo-Odofin",Foreign Used,294151 km
"₦ 3,675,000",Toyota Highlander 2004 Black,"Oyo State, Ibadan",Local Used,378655 km
"₦ 2,975,000",Mercedes-Benz C280 2007 Black,"Abuja (FCT), Lugbe District",Local Used,453783 km
"₦ 5,200,000",Toyota Corolla 2005 Blue,"Lagos State, Amuwo-Odofin",Local Used,156745 km
"₦ 7,280,000",Toyota RAV4 2006 Silver,"Lagos State, Ogudu",Local Used,
"₦ 7,350,000",Honda Civic 2011 Black,"Lagos State, Ikeja",Local Used,275967 km
"₦ 8,085,000",Toyota Sienna 2013 Black,"Lagos State, Ikeja",Local Used,21982 km
"₦ 7,875,000",Lexus IS 2007 Black,"Rivers State, Port-Harcourt",Local Used,407196 km
"₦ 8,400,000",Chevrolet Cobalt 2016 Black,"Lagos State, Ikoyi",Local Used,22039 km
"₦ 3,885,000",Lexus RX 300 1999 Green,"Abia State, Aba North",Local Used,416437 km
"₦ 47,250,000",Ford F-350 2016 White,"Abuja (FCT), Garki 2",Foreign Used,212812 km
"₦ 14,040,000",Lexus ES 2009 Black,"Abuja (FCT), Gwarinpa",Foreign Used,316360 km
"₦ 12,168,000",Toyota Camry 2013 Gray,"Lagos State, Magodo",Local Used,134972 km
"₦ 13,520,000",Hyundai Sonata 2013 Black,"Oyo State, Ibadan",Foreign Used,166296 km
"₦ 68,250,000",Toyota HiAce 2017 White,"Akwa Ibom State, Uyo",Local Used,6060 km
"₦ 6,032,000",Toyota Camry 2006 Black,"Lagos State, Alimosho",Local Used,249235 km
"₦ 3,990,000",Nissan Almera 2005 Silver,"Ondo State, Akure",Local Used,341333 km
"₦ 26,250,000",RAM Promaster 2500 2017 Gray,"Lagos State, Lekki",Foreign Used,228807 km
"₦ 2,392,000",Toyota Camry 1998 Red,"Enugu State, Enugu",Local Used,300000 km
"₦ 14,700,000",Toyota Camry 2015 Black,"Ogun State, Abeokuta North",Foreign Used,249468 km
"₦ 9,360,000",Toyota RAV4 2010 Black,"Lagos State, Alimosho",Local Used,96774 km
"₦ 13,000,000",Mercedes-Benz C300 2011 Silver,"Edo State, Benin City",Foreign Used,134881 km
"₦ 8,840,000",Lexus RX 330 2004 Silver,"Ogun State, Abeokuta North",Local Used,335330 km
"₦ 3,675,000",Toyota Avensis 2004 Black,"Lagos State, Abule Egba",Local Used,94473 km
"₦ 3,675,000",Honda Accord 2.0 Comfort Automatic 2008 Gray,"Abuja (FCT), Lugbe District",Local Used,451199 km
"₦ 7,800,000",Ford Edge 2011 Gray,"Abuja (FCT), Lugbe District",Local Used,243103 km
"₦ 25,200,000",Mercedes-Benz GLA-Class 2016 Black,"Oyo State, Ibadan",Foreign Used,241420 km
"₦ 6,510,000",Toyota Camry 2007 Black,"Lagos State, Surulere",Local Used,282052 km
"₦ 14,040,000",Toyota Camry 2015 Black,"Abuja (FCT), Lugbe District",Local Used,114406 km
"₦ 6,825,000",Honda Odyssey 2005 Blue,"Edo State, Benin City",Local Used,911870 km
"₦ 11,440,000",Toyota Camry 2013 Red,"Lagos State, Ilupeju",Local Used,162342 km
"₦ 11,025,000",Ford Edge 2012 Silver,"Oyo State, Ibadan",Foreign Used,245664 km
"₦ 14,700,000",Mitsubishi Outlander 2015 Black,"Oyo State, Ibadan",Foreign Used,73628 km
"₦ 4,515,000",Toyota Camry 2005 Silver,"Abuja (FCT), Gudu",Local Used,169435 km
"₦ 4,784,000",Toyota Matrix 2004 Silver,"Abuja (FCT), Gwarinpa",Local Used,403062 km
"₦ 6,825,000",Toyota Camry 2007 Black,"Rivers State, Port-Harcourt",Local Used,288898 km
"₦ 18,900,000",New Land Rover Discovery Sport 2015 Red,"Lagos State, Ikoyi",Brand New,35879 km
"₦ 4,056,000",Toyota Sienna 2003 Blue,"Lagos State, Alimosho",Local Used,211812 km
"₦ 3,675,000",Mercedes-Benz E350 2007 Black,"Abuja (FCT), Jabi",Local Used,193796 km
"₦ 3,640,000",Toyota Camry 2002 Green,"Lagos State, Alimosho",Local Used,143799 km
"₦ 3,150,000",Acura TSX 2006 Brown,"Abuja (FCT), Jabi",Local Used,99999 km
"₦ 9,030,000",Mercedes-Benz E350 2010 Black,"Enugu State, Enugu",Foreign Used,200000 km
"₦ 7,280,000",Toyota Camry 2009 Gold,"Lagos State, Surulere",Local Used,254356 km
"₦ 15,600,000",Mercedes-Benz GL-Class 2012 Silver,"Abuja (FCT), Jabi",Local Used,172575 km
"₦ 4,200,000",Mazda MPV 2000 Gray,"Lagos State, Isolo",Local Used,305110 km
"₦ 14,040,000",Honda Civic HF Sedan EX-L 2013 Gray,"Abuja (FCT), Lugbe District",Foreign Used,271329 km
"₦ 4,534,400",Toyota Camry 2004 Black,"Lagos State, Amuwo-Odofin",Local Used,421404 km
"₦ 10,710,000",Nissan Pathfinder 2011 Gray,"Lagos State, Lekki",Local Used,103806 km
"₦ 17,850,000",Hyundai Santa Fe 2015 White,"Lagos State, Lekki",Foreign Used,233520 km
"₦ 5,880,000",Lexus ES 2005 Green,"Oyo State, Ibadan",Local Used,132454 km
"₦ 7,770,000",Mercedes-Benz GL-Class GL 450 2007 Black,"Lagos State, Yaba",Local Used,164471 km
"₦ 12,168,000",Mercedes-Benz GL-Class 2011 Black,"Lagos State, Lekki",Local Used,
"₦ 36,904,875",Lexus GX 460 Luxury 2016 Black,"Lagos State, Lekki",Local Used,61376 km
"₦ 16,640,000",Toyota Highlander 2012 White,"Lagos State, Ikotun/Igando",Local Used,151838 km
"₦ 3,640,000",Toyota Sienna 2000 White,"Kaduna State, Kaduna / Kaduna State",Local Used,222401 km
"₦ 3,675,000",Acura MDX 2001 Gold,"Lagos State, Ikotun/Igando",Local Used,404755 km
"₦ 4,410,000",Honda CR-V 2007 Red,"Edo State, Benin City",Local Used,164320 km
"₦ 17,850,000",Land Rover Lr4 V8 2011 Black,"Kaduna State, Kaduna / Kaduna State",Foreign Used,245039 km
"₦ 6,448,000",Acura MDX 2007 Burgandy,"Lagos State, Alimosho",Local Used,
"₦ 20,150,000",Lexus RX 350 2015 Black,"Lagos State, Surulere",Local Used,125032 km
"₦ 13,520,000",Toyota Venza 2010 Black,"Abuja (FCT), Jabi",Local Used,116415 km
"₦ 32,550,000",Lexus NX 300h 2016 White,"Lagos State, Lekki",Local Used,34080 km
"₦ 13,520,000",Toyota Corolla 2012 Gray,"Oyo State, Ibadan",Foreign Used,141744 km
"₦ 6,069,000",Toyota Highlander 2006 Black,"Lagos State, Ikeja",Local Used,121864 km
"₦ 7,350,000",Toyota Corolla 2009 Black,"Lagos State, Ikoyi",Local Used,83532 km
"₦ 4,725,000",Toyota Corolla 2005 Gray,"Oyo State, Ibadan",Local Used,166505 km
"₦ 13,520,000",Mercedes-Benz E350 2010 Black,"Abuja (FCT), Jabi",Local Used,168620 km
"₦ 4,410,000",Honda Accord 2008 Black,"Lagos State, Abule Egba",Local Used,99172 km
"₦ 21,000,000",Mercedes-Benz CLA-Class 2014 White,"Lagos State, Lekki",Foreign Used,177484 km
"₦ 2,625,000",Mercedes-Benz CLK 2005 Blue,"Abuja (FCT), Lugbe District",Local Used,121670 km
"₦ 4,620,000",Nissan Micra Acenta 1.4 2005 Blue,"Kaduna State, Kaduna / Kaduna State",Foreign Used,50550 km
"₦ 5,071,500",Toyota Sienna 2008 Silver,"Enugu State, Enugu",Local Used,253741 km
"₦ 4,200,000",Hyundai Tucson 2009 Black,"Lagos State, Ikotun/Igando",Local Used,61237 km
"₦ 6,300,000",BMW 530i 2006 Brown,"Oyo State, Ibadan",Local Used,196063 km
"₦ 4,725,000",Mercedes-Benz C240 2001 Silver,"Abuja (FCT), Gwarinpa",Local Used,348515 km
"₦ 7,875,000",Mercedes-Benz M Class 2008 White,"Oyo State, Ibadan",Local Used,172103 km
"₦ 4,410,000",Volkswagen Golf 2008 Silver,"Lagos State, Alimosho",Local Used,188912 km
"₦ 8,840,000",Lexus IS 2008 Silver,"Lagos State, Ikeja",Local Used,137431 km
"₦ 4,680,000",Toyota RAV4 2003 Silver,"Abuja (FCT), Gwarinpa",Local Used,297991 km
"₦ 17,850,000",Lexus RX 350 2013 Silver,"Abuja (FCT), Jabi",Local Used,176349 km
"₦ 4,410,000",Honda Pilot 2005 Red,"Lagos State, Isolo",Foreign Used,259551 km
"₦ 7,392,000",Nissan Murano 2011 Brown,"Lagos State, Amuwo-Odofin",Local Used,20700521 km
"₦ 10,500,000",Toyota Land Cruiser Prado 2009 Black,"Abuja (FCT), Garki 2",Local Used,287460 km
"₦ 11,156,250",Honda Accord 2016 White,"Abuja (FCT), Wuse",Local Used,125251 km
"₦ 5,408,000",Toyota Matrix 2004 Red,"Lagos State, Alimosho",Local Used,377461 km
"₦ 19,740,000",Kia Sorento 2019 Red,"Lagos State, Alimosho",Local Used,156583 km
"₦ 2,835,000",Honda Pilot 2004 Silver,"Lagos State, Surulere",Local Used,489852 km
"₦ 16,275,000",Toyota Sienna 2011 Silver,"Lagos State, Ilupeju",Foreign Used,87080 km
"₦ 9,975,000",Mercedes-Benz S-Class 2006 Silver,"Lagos State, Alimosho",Local Used,5362 km
