Price,Car Name,Region,Condition,Mileage,Year,Color,Brand,Log_Price
29812500.0,Toyota Highlander LE 4dr SUV (3.5L 6cyl 6A),Lagos State,Local Used,206808.0,2015,Blue,Toyota,17.21043836015581
14332500.0,Toyota RAV4,Lagos State,Local Used,225502.0,2013,Gray,Toyota,16.47804031353617
9000000.0,GMC Acadia,Abuja (FCT),Local Used,360413.0,2008,Brown,GMC,16.012735246411598
7256250.0,Acura MDX,Lagos State,Local Used,193088.0,2011,Black,Acura,15.79737386224056
4500000.0,Honda Civic,Lagos State,Local Used,134618.0,2008,Silver,Honda,15.319588176962744
12375000.0,Toyota Corolla,Abuja (FCT),Foreign Used,223300.0,2009,Red,Toyota,16.331188947227105
2812500.0,Toyota Camry,Lagos State,Local Used,434813.0,2004,Black,Toyota,14.849584681050304
8437500.0,Honda Pilot,Rivers State,Local Used,271126.0,2004,Silver,Honda,15.948196732681433
30375000.0,Land Rover Lr4,Lagos State,Foreign Used,287207.0,2012,White,Land,17.229130492546798
13500000.0,Toyota Venza,Lagos State,Local Used,101222.0,2014,Black,Toyota,16.41820031748273
14625000.0,Land Rover Range Rover Evoque,Abuja (FCT),Local Used,55500.0,2012,Black,Land,16.49824301945826
3487500.0,Peugeot 206,Abuja (FCT),Local Used,965604.0,2002,Silver,Peugeot,15.064695991850067
6300000.0,Toyota Camry,Oyo State,Local Used,175302.0,2009,Black,Toyota,15.656060350091908
6930000.0,Hyundai Sonata,Abuja (FCT),Local Used,169333.0,2012,Red,Hyundai,15.751370515466219
5490000.0,Toyota 4-Runner,Abuja (FCT),Local Used,238453.0,2003,Black,Toyota,15.518438995635059
5456250.0,Honda CR-V,Lagos State,Local Used,6370.0,2007,Red,Honda,15.512272481846091
7875000.0,Toyota Sienna,Abuja (FCT),Local Used,258450.0,2008,Gray,Toyota,15.87920386966009
63112500.0,Toyota Highlander,Lagos State,Foreign Used,212968.0,2021,Silver,Toyota,17.96042942199403
6750000.0,Toyota Avensis,Lagos State,Local Used,311950.0,2003,Silver,Toyota,15.72505321099685
4387500.0,Toyota Camry,Imo State,Local Used,334441.0,2004,Blue,Toyota,15.29427037467646
12075000.0,Lexus ES 350,Lagos State,Foreign Used,,2009,Gray,Lexus,16.306647840318643
3037500.0,Honda Accord,Rivers State,Local Used,203950.0,2004,Gray,Honda,14.926545695848993
18000000.0,Ford Edge,Lagos State,Foreign Used,142330.0,2015,Black,Ford,16.705882371415992
8325000.0,Toyota Camry,Lagos State,Local Used,109960.0,2010,Gray,Toyota,15.934773713950895
5625000.0,Nissan Almera,Lagos State,Local Used,135683.0,2005,Gray,Nissan,15.54273168383252
2677500.0,Honda Civic 1.4i S,Lagos State,Local Used,637420.0,2003,Beige,Honda,14.800394454786698
6255000.0,Toyota Camry,Abuja (FCT),Local Used,194189.0,2010,Gray,Toyota,15.648891861755237
25200000.0,Mercedes-Benz M Class,Rivers State,Foreign Used,225146.0,2012,Black,Mercedes-Benz,17.04235459216419
14175000.0,Toyota Camry,Lagos State,Local Used,67498.0,2015,Silver,Toyota,16.466990478124824
9672000.0,Lexus RX,Edo State,Local Used,42935.0,2008,Silver,Lexus,16.084745774667994
12375000.0,Lexus RX 350,Oyo State,Local Used,181146.0,2009,Silver,Lexus,16.331188947227105
16800000.0,Toyota Venza,Ogun State,Foreign Used,202461.0,2011,Ivory,Toyota,16.636889503897294
14625000.0,Land Rover Range Rover Evoque,Lagos State,Local Used,137431.0,2014,Blue,Land,16.49824301945826
8100000.0,Mercedes-Benz GL-Class,Abuja (FCT),Local Used,110767.0,2008,Black,Mercedes-Benz,15.90737474309945
19125000.0,Toyota Highlander,Lagos State,Foreign Used,446561.0,2013,Blue,Toyota,16.766506989964455
18900000.0,Lexus RX 350,Lagos State,Local Used,162850.0,2014,Black,Lexus,16.75467253293992
3937500.0,Honda Accord,Lagos State,Local Used,548620.0,2003,Silver,Honda,15.186056816084246
6525000.0,Hyundai Elantra,Lagos State,Local Used,101412.0,2013,Beige,Hyundai,15.691151664429723
18646875.0,Toyota Highlander,Imo State,Foreign Used,139019.0,2011,Silver,Toyota,16.74118918332087
5850000.0,Ford Edge,Lagos State,Local Used,218955.0,2010,Gray,Ford,15.581952390148196
4500000.0,Honda Ridgeline,Oyo State,Local Used,278512.0,2007,Blue,Honda,15.319588176962744
19240000.0,Lexus RX 350,Lagos State,Local Used,97595.0,2012,Silver,Lexus,16.772502055176883
11250000.0,Land Rover Lr4,Lagos State,Local Used,60220.0,2010,Brown,Land,16.235878775503586
3150000.0,Volkswagen Jetta,Lagos State,Local Used,,2007,Black,Volkswagen,14.962913328262083
4050000.0,Honda CR-V,Edo State,Local Used,114304.0,2007,Black,Honda,15.21422768599627
9450000.0,Toyota Sequoia,Rivers State,Local Used,156256.0,2010,Black,Toyota,16.061525405290027
4950000.0,Toyota Avalon,Lagos State,Local Used,190802.0,2008,Gray,Toyota,15.414898336565054
10530000.0,Toyota Sienna,Lagos State,Local Used,253429.0,2011,Blue,Toyota,16.169738979076914
5512000.0,Toyota Corolla Sedan Automatic,Kaduna State,Local Used,181026.0,2003,Silver,Toyota,15.522438273097967
3848000.0,Honda Civic,Rivers State,Local Used,373786.0,2003,Red,Honda,15.16306435064296
5400000.0,Toyota Camry,Lagos State,Local Used,209511.0,2003,Black,Toyota,15.50190969671967
3375000.0,Lexus ES,Rivers State,Local Used,320207.0,2002,Green,Lexus,15.03190617858502
